entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
LatinUS,Neutral,0,131319670,-36185741,1667,78776,2417163040,2417163040,[TikTok](https://www.tiktok.com/@latinus_us)
Daily Mail,Neutral,7,53166387,19784540,283,187867,683106652,683106652,[TikTok](https://www.tiktok.com/@dailymail)
CBS News,Neutral,5,49415379,15991423,829,59608,728394692,728394692,"[TikTok](https://tiktok.com/@cbsnews), [TikTok](https://www.tiktok.com/@cbs)"
BBC News,Neutral,-1,46168356,-27410200,727,63505,863889688,863889688,[TikTok](https://www.tiktok.com/@bbcnews)
CNN,Neutral,-1,41932745,-12754253,739,56743,779912800,779912800,[TikTok](https://tiktok.com/@cnn)
ABC News,Neutral,1,41153540,7633498,736,55915,580614429,580614429,[TikTok](https://www.tiktok.com/@abcnews)
Al Jazeera English,Neutral,-5,38412592,-38026186,931,41259,1072502932,1072502932,[TikTok](https://tiktok.com/@aljazeeraenglish)
Brut America,Neutral,6,37295745,13853155,266,140210,403227049,403227049,[TikTok](https://tiktok.com/@brutamerica)
NBC News,Neutral,1,36499435,4717595,639,57120,565225013,565225013,[TikTok](https://tiktok.com/@nbcnews)
Aaron Parnas,Left-Leaning,3,35484249,8835734,323,109858,290888341,290888341,[TikTok](https://tiktok.com/@aaronparnas1)
Fox News,Right-Leaning,-5,35241047,-2286394,584,60344,940381350,940381350,[TikTok](https://tiktok.com/@foxnews)
Dylan Page,Neutral,-7,30905526,-7152731,52,594337,275179403,275179403,[TikTok](https://www.tiktok.com/@dylan.page)
The Democrats,Left-Leaning,-2,25902180,-1590290,112,231269,153617472,153617472,[TikTok](https://tiktok.com/@democrats)
NowThis,Left-Leaning,1,22571981,697789,215,104986,188460609,188460609,[TikTok](https://www.tiktok.com/@nowthisimpact)
ABC7 LA,Neutral,1,19627770,-62655,340,57729,257589636,257589636,[TikTok](https://www.tiktok.com/@abc7la)
Univision Noticias,Neutral,10,19588860,12254401,474,41327,358056077,358056077,[TikTok](https://www.tiktok.com/@uninoticias)
ABC7 Chicago,Neutral,8,18507080,10918372,841,22006,286161714,286161714,[TikTok](https://www.tiktok.com/@abc7chicago)
The Late Show with Stephen Colbert,Left-Leaning,17,17365099,12701054,113,153673,118320093,118320093,[TikTok](https://www.tiktok.com/@colbertlateshow)
Courier,Left-Leaning,0,15484623,101257,253,61204,139361342,139361342,[TikTok](https://tiktok.com/@couriernewsroom)
NY Post,Right-Leaning,7,14745009,7537830,345,42739,281987817,281987817,[TikTok](https://www.tiktok.com/@nypost)
