entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Daily Mail,Neutral,0,97686325,-44646990,580,168425,1386639422,1386639422,[TikTok](https://www.tiktok.com/@dailymail)
NBC News,Neutral,3,54254731,16738761,630,86119,755084564,755084564,[TikTok](https://tiktok.com/@nbcnews)
ABC News,Neutral,4,47746695,12592557,416,114776,991656902,991656902,[TikTok](https://www.tiktok.com/@abcnews)
BBC News,Neutral,2,41977058,6427987,505,83123,547663991,547663991,[TikTok](https://www.tiktok.com/@bbcnews)
Dylan Page,Neutral,-3,34847858,-13859254,50,696957,314109561,314109561,[TikTok](https://www.tiktok.com/@dylan.page)
CBS News,Neutral,4,30435548,3246389,582,52295,436386268,436386268,"[TikTok](https://tiktok.com/@cbsnews), [TikTok](https://www.tiktok.com/@cbs)"
Aaron Parnas,Left-Leaning,-3,28819188,-9724345,295,97692,219676607,219676607,[TikTok](https://tiktok.com/@aaronparnas1)
Al Jazeera English,Neutral,6,27065263,10553349,342,79138,339999987,339999987,[TikTok](https://tiktok.com/@aljazeeraenglish)
CNN,Neutral,3,23855252,6573710,544,43852,317423086,317423086,[TikTok](https://tiktok.com/@cnn)
Carlos Eduardo Espina,Left-Leaning,-7,23583912,-16007001,575,41015,395490520,395490520,[TikTok](https://tiktok.com/@carlos_eduardo_espina)
Courier,Left-Leaning,4,19998872,4733067,219,91319,157786596,157786596,[TikTok](https://tiktok.com/@couriernewsroom)
Gavin Newsom,Left-Leaning,12,19895786,11996431,74,268862,113212267,113212267,"[TikTok](https://www.tiktok.com/@gavinnewsom), [TikTok](https://www.tiktok.com/@cagovernor)"
Fox News,Right-Leaning,-4,18394132,-8808779,1166,15775,395259459,395259459,[TikTok](https://tiktok.com/@foxnews)
Metro,Neutral,-6,17102542,-12613105,195,87705,294279701,294279701,[TikTok](https://tiktok.com/@metrouk)
ABC7 LA,Neutral,64,14269498,12705101,198,72068,199931659,199931659,[TikTok](https://www.tiktok.com/@abc7la)
The Democrats,Left-Leaning,-5,13548445,-8102977,86,157540,92031327,92031327,[TikTok](https://tiktok.com/@democrats)
Team Trump,Right-Leaning,11,12341702,5699315,47,262589,191995829,191995829,[TikTok](https://www.tiktok.com/@teamtrump)
NowThis,Left-Leaning,1,11979117,1771693,179,66922,98738237,98738237,[TikTok](https://www.tiktok.com/@nowthisimpact)
MS NOW,Left-Leaning,-3,11720403,-3056111,341,34371,135320606,135320606,[TikTok](https://www.tiktok.com/@msnow)
NY Post,Right-Leaning,-3,11033315,-2233084,403,27378,205572509,205572509,[TikTok](https://www.tiktok.com/@nypost)
LatinUS,Neutral,-8,9428407,-7264241,166,56798,148523833,148523833,[TikTok](https://www.tiktok.com/@latinus_us)
Spencer Spencewuah,Left-Leaning,-2,9249182,-736962,57,162266,37219056,37219056,[TikTok](https://www.tiktok.com/@spencewuah)
Brut America,Neutral,-5,8849787,-1876720,276,32064,155281035,155281035,[TikTok](https://tiktok.com/@brutamerica)
ABC World News Tonight,Neutral,30,8569053,5888689,162,52895,146441624,146441624,[TikTok](https://www.tiktok.com/@abcworldnews)
Univision Noticias,Neutral,10,8095296,3528048,231,35045,227467567,227467567,[TikTok](https://www.tiktok.com/@uninoticias)
Pink News,Left-Leaning,-5,7566242,-2124176,246,30757,93219669,93219669,[TikTok](https://tiktok.com/@pinknews)
Charlie Kirk,Right-Leaning,12,7445369,3300642,81,91918,73970315,73970315,[TikTok](https://www.tiktok.com/@thecharliekirkshow)
CBS Mornings,Neutral,-2,7365788,301905,460,16013,115900211,115900211,[TikTok](https://tiktok.com/@cbsmornings)
The Late Show with Stephen Colbert,Left-Leaning,-6,7121636,-1689155,46,154818,52274819,52274819,[TikTok](https://www.tiktok.com/@colbertlateshow)
Sky News,Neutral,-3,6324344,-525830,560,11293,119156964,119156964,[TikTok](https://tiktok.com/@skynews)
ABC7 Chicago,Neutral,58,6132339,4806230,368,16664,86749365,86749365,[TikTok](https://www.tiktok.com/@abc7chicago)
Chris Valenti,Left-Leaning,45,5453671,3817628,209,26094,28795619,28795619,[TikTok](https://www.tiktok.com/@valentivideos.alt)
MeidasTouch,Left-Leaning,0,5014817,-78725,170,29499,31786101,31786101,[TikTok](https://tiktok.com/@meidastouch)
