entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Daily Mail,Neutral,0,215218145,12581874,948,227023,4004227040,4004227040,[TikTok](https://www.tiktok.com/@dailymail)
CBS News,Neutral,6,28913109,4171629,422,68514,471440361,471440361,"[TikTok](https://tiktok.com/@cbsnews), [TikTok](https://www.tiktok.com/@cbs)"
Carlos Eduardo Espina,Left-Leaning,8,26557997,4119525,307,86508,437959639,437959639,[TikTok](https://tiktok.com/@carlos_eduardo_espina)
BBC News,Neutral,5,25065537,2209485,371,67562,453394796,453394796,[TikTok](https://www.tiktok.com/@bbcnews)
Aaron Parnas,Left-Leaning,9,22548996,3304021,249,90558,173277011,173277011,[TikTok](https://tiktok.com/@aaronparnas1)
ABC News,Neutral,4,21324318,-1416395,320,66638,353095042,353095042,[TikTok](https://www.tiktok.com/@abcnews)
NBC News,Neutral,-2,20882303,-15716109,228,91589,315041041,315041041,[TikTok](https://tiktok.com/@nbcnews)
MS NOW,Left-Leaning,-1,20730156,-9350760,266,77933,367472054,367472054,[TikTok](https://www.tiktok.com/@msnow)
CNN,Neutral,4,13934993,-5558994,202,68985,222704353,222704353,[TikTok](https://tiktok.com/@cnn)
NowThis,Left-Leaning,5,11486799,-5763747,91,126229,93129373,93129373,[TikTok](https://www.tiktok.com/@nowthisimpact)
NY Post,Right-Leaning,8,10513507,1380589,300,35045,179238371,179238371,[TikTok](https://www.tiktok.com/@nypost)
The Late Show with Stephen Colbert,Left-Leaning,11,10300817,3215370,82,125620,76167464,76167464,[TikTok](https://www.tiktok.com/@colbertlateshow)
The Daily Show,Left-Leaning,3,9462043,-6648180,96,98563,82512078,82512078,[TikTok](https://tiktok.com/@thedailyshow)
Sky News,Neutral,7,7995654,-157468,613,13043,205041454,205041454,[TikTok](https://tiktok.com/@skynews)
Courier,Left-Leaning,-12,7242214,-43286019,104,69637,63254595,63254595,[TikTok](https://tiktok.com/@couriernewsroom)
Al Jazeera English,Neutral,1,5534036,-6016225,178,31090,82273227,82273227,[TikTok](https://tiktok.com/@aljazeeraenglish)
AJ+,Left-Leaning,26,5427100,2897872,94,57735,43711102,43711102,[TikTok](https://www.tiktok.com/@ajplus)
Univision Noticias,Neutral,17,4887439,1718951,133,36748,143595602,143595602,[TikTok](https://www.tiktok.com/@uninoticias)
Politico Mexico,Neutral,6,4587327,-1278105,392,11702,75761804,75761804,[TikTok](https://tiktok.com/@politicomx)
ABC World News Tonight,Neutral,11,4506738,464793,123,36640,106647189,106647189,[TikTok](https://www.tiktok.com/@abcworldnews)
Alex Pearlman,Left-Leaning,45,4279514,2885594,16,267470,25344079,25344079,[TikTok](https://tiktok.com/@pearlmania500)
Nikita Redkar Dumptruck,Left-Leaning,56,4165877,3103592,16,260367,15203439,15203439,[TikTok](https://tiktok.com/@nikitadumptruck)
TizzyEnt,Left-Leaning,19,4035295,1406939,55,73369,36843606,36843606,[TikTok](https://tiktok.com/@tizzyent)
Benjamín Zamora,Neutral,14,3963714,1060918,119,33309,92088395,92088395,[TikTok](https://tiktok.com/@benjaminzamoratv)
Under the Desk News,Left-Leaning,22,3572408,1254792,53,67404,24668082,24668082,[TikTok](https://tiktok.com/@underthedesknews)
Brut America,Neutral,23,3434185,1143039,201,17085,45745273,45745273,[TikTok](https://tiktok.com/@brutamerica)
Good Trouble - Sam Rosenholtz,Left-Leaning,5,3401378,-446310,61,55760,23594142,23594142,[TikTok](https://www.tiktok.com/@goodtrouble_)
Harry Sisson,Left-Leaning,-4,3327703,-3441221,116,28687,26738980,26738980,[TikTok](https://tiktok.com/@harryjsisson)
Dean Withers,Left-Leaning,-11,3311330,-6563523,4,827833,15665878,15665878,[TikTok](https://www.tiktok.com/@itsdeaann)
Daily Wire,Right-Leaning,10,3282862,522985,63,52109,34496935,34496935,[TikTok](https://tiktok.com/@dailywire)
Imani Barbarin - Crutches and Spice,Left-Leaning,34,3272932,1870728,124,26395,15925086,15925086,[TikTok](https://www.tiktok.com/@crutches_and_spice)
Dash Dobrofsky,Left-Leaning,-5,3157203,-1968443,47,67175,19413667,19413667,[TikTok](https://www.tiktok.com/@dashdobrofsky)
Andr3wsky,Left-Leaning,18,3111459,951866,33,94287,14667405,14667405,[TikTok](https://www.tiktok.com/@andr3wsky)
Charlie Kirk,Right-Leaning,-22,2510742,-17301416,42,59780,31594185,31594185,[TikTok](https://www.tiktok.com/@thecharliekirkshow)
The New York Times,Neutral,6,2405329,-261041,87,27647,31374528,31374528,[TikTok](https://tiktok.com/@nytimes)
The Democrats,Left-Leaning,-14,2368818,-5129412,19,124675,12261694,12261694,[TikTok](https://tiktok.com/@democrats)
Gaydar,Left-Leaning,2,2193514,-643283,9,243724,13452036,13452036,[TikTok](https://www.tiktok.com/@gaydar.show)
Josh Helfgott,Left-Leaning,64,2052865,1400676,14,146633,9668862,9668862,[TikTok](https://tiktok.com/@joshhelfgott)
Philip DeFranco,Left-Leaning,20,1942742,384733,33,58871,17626120,17626120,[TikTok](https://www.tiktok.com/@philipdefranco)
Anthony Raimondi,Right-Leaning,-4,1876130,-1115664,143,13120,9368010,9368010,[TikTok](https://www.tiktok.com/@conservativeant2.0)
MeidasTouch,Left-Leaning,-4,1651892,-1260235,70,23598,12209897,12209897,[TikTok](https://tiktok.com/@meidastouch)
Team Trump,Right-Leaning,-40,1639384,-50998477,11,149035,23507180,23507180,[TikTok](https://www.tiktok.com/@teamtrump)
Your Favorite Guy,Left-Leaning,49,1506490,672383,37,40716,8115485,8115485,[TikTok](https://tiktok.com/@yourfavoriteguy)
Andra Berghoff,Left-Leaning,36,1448279,438890,34,42596,11397428,11397428,[TikTok](https://tiktok.com/@hopeyoufindyourdad)
Alexis Rose Hinkley - Traveling Nurse,Left-Leaning,83,1402998,1028279,93,15086,5959813,5959813,[TikTok](https://www.tiktok.com/@travelingnurse)
HYGO News,Right-Leaning,27,1382718,198642,491,2816,43172717,43172717,[TikTok](https://www.tiktok.com/@hygonews)
Piers Morgan Uncensored,Right-Leaning,72,1287170,822929,21,61294,17670724,17670724,[TikTok](https://www.tiktok.com/@piersmorganuncensored)
Walter Masterson,Left-Leaning,-22,1285041,-4360050,25,51402,8357292,8357292,[TikTok](https://www.tiktok.com/@waltermasterson)
Alexandria Ocasio-Cortez,Left-Leaning,11,1220983,-324327,7,174426,9337095,9337095,[TikTok](https://www.tiktok.com/@aoc)
Greg Johnstone,Left-Leaning,27,1204836,116351,21,57373,7235339,7235339,[TikTok](https://tiktok.com/@johnstone.gregory)
Tucker Carlson,Right-Leaning,17,1151791,-120795,7,164542,14443646,14443646,[TikTok](https://tiktok.com/@tuckercarlson)
Jeffery Mead,Right-Leaning,3,1151350,-584567,31,37140,8147642,8147642,[TikTok](https://tiktok.com/@the_jefferymead)
Doxielvr,Right-Leaning,21,1079323,-102662,132,8177,4678440,4678440,[TikTok](https://www.tiktok.com/@doxielvr)
Megyn Kelly,Right-Leaning,-6,1078973,-1231136,53,20358,14435476,14435476,[TikTok](https://www.tiktok.com/@megynkellyshow)
"Joe ""Pags"" Pagliarulo",Right-Leaning,15,1066844,-182090,38,28075,10624658,10624658,[TikTok](https://www.tiktok.com/@joepags)
ItsLuke,Left-Leaning,,1035066,,11,94097,3816519,3816519,[TikTok](https://www.tiktok.com/@itsluke7)
The Washington Post,Neutral,0,1029466,-616082,34,30278,11552805,11552805,[TikTok](https://tiktok.com/@washingtonpost)
Cory Booker,Left-Leaning,196,1028131,987883,23,44701,7975619,7975619,[TikTok](https://tiktok.com/@corybooker)
Donald Trump was Right,Right-Leaning,398,1006483,1006071,8,125810,6988520,6988520,[TikTok](https://tiktok.com/@donaldtrumpwasright)
Fox News,Right-Leaning,-27,1000140,-2683137,14,71439,18532059,18532059,[TikTok](https://tiktok.com/@foxnews)
The Recount,Left-Leaning,-9,992833,-1118114,56,17729,11086495,11086495,[TikTok](https://tiktok.com/@therecount)
David Pakman Show,Left-Leaning,2,985572,-418874,187,5270,8898129,8898129,[TikTok](https://tiktok.com/@davidpakmanshow)
James Ray,Left-Leaning,119,958318,796691,36,26620,3980618,3980618,[TikTok](https://tiktok.com/@jamesgetspolitical)
James Ray (jamesgetpolitical),Left-Leaning,119,958318,796691,36,26620,3980618,3980618,[TikTok](https://www.tiktok.com/@jamesgetspolitical)
The Tennessee Holler,Left-Leaning,44,953028,392818,234,4073,7702762,7702762,[TikTok](https://www.tiktok.com/@thetnholler)
"Tom Powell, Jr.",Left-Leaning,19,929253,-49626,976,952,14516503,14516503,[TikTok](https://tiktok.com/@tompowelljr)
Jesse Watters,Right-Leaning,-9,849412,-755190,51,16655,7881314,7881314,[TikTok](https://tiktok.com/@jessebwatters)
Ding News,Right-Leaning,89,813852,563943,23,35385,12122108,12122108,[TikTok](https://www.tiktok.com/@dingnewscorp)
Isaiah Martin,Left-Leaning,164,800117,741014,61,13117,4888788,4888788,[TikTok](https://tiktok.com/@isaiahrmartin)
Amanda Tietz,Left-Leaning,-40,756030,-3409952,60,12601,5134023,5134023,[TikTok](https://www.tiktok.com/@pottymouthpollyanna)
Alexis and Dean,Neutral,16,754652,-151632,33,22868,14619418,14619418,[TikTok](https://www.tiktok.com/@alexisanddean)
Isabel Brown,Right-Leaning,86,708808,462179,18,39378,6596154,6596154,[TikTok](https://tiktok.com/@theisabelbrown)
Link Lauren,Right-Leaning,-20,698356,-1169353,10,69836,4269383,4269383,[TikTok](https://tiktok.com/@itslinklauren)
