entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
LatinUS,Neutral,0,165082730,44315006,1439,114720,2672602268,2672602268,[TikTok](https://www.tiktok.com/@latinus_us)
Daily Mail,Neutral,0,72080073,-16399202,518,139151,1029542625,1029542625,[TikTok](https://www.tiktok.com/@dailymail)
BBC News,Neutral,1,68231734,-736883,626,108996,1355010825,1355010825,[TikTok](https://www.tiktok.com/@bbcnews)
CBS News,Neutral,4,52087097,2312397,853,61063,762941059,762941059,"[TikTok](https://tiktok.com/@cbsnews), [TikTok](https://www.tiktok.com/@cbs)"
The Democrats,Left-Leaning,2,47332396,-11911523,119,397751,277628802,277628802,[TikTok](https://tiktok.com/@democrats)
CNN,Neutral,-1,45915347,-17216101,683,67226,770416518,770416518,[TikTok](https://tiktok.com/@cnn)
Fox News,Right-Leaning,4,42340815,3564932,973,43516,926078883,926078883,[TikTok](https://tiktok.com/@foxnews)
ABC News,Neutral,2,39625323,-970579,492,80539,546901390,546901390,[TikTok](https://www.tiktok.com/@abcnews)
Brut America,Neutral,4,38371532,7210433,254,151069,446817403,446817403,[TikTok](https://tiktok.com/@brutamerica)
Dylan Page,Neutral,6,30922146,5542258,46,672221,281865818,281865818,[TikTok](https://www.tiktok.com/@dylan.page)
Aaron Parnas,Left-Leaning,1,30553576,-6013382,316,96689,231811960,231811960,[TikTok](https://tiktok.com/@aaronparnas1)
Courier,Left-Leaning,-3,30059337,-14209969,255,117880,234849046,234849046,[TikTok](https://tiktok.com/@couriernewsroom)
NBC News,Neutral,-7,28488941,-32434128,451,63168,425074436,425074436,[TikTok](https://tiktok.com/@nbcnews)
NowThis,Left-Leaning,-11,27958717,-44351472,143,195516,229878040,229878040,[TikTok](https://www.tiktok.com/@nowthisimpact)
Al Jazeera English,Neutral,9,23657041,9968522,413,57281,516259079,516259079,[TikTok](https://tiktok.com/@aljazeeraenglish)
Carlos Eduardo Espina,Left-Leaning,-1,16975305,-11991229,641,26483,262561327,262561327,[TikTok](https://tiktok.com/@carlos_eduardo_espina)
The Independent,Neutral,5,16308901,1508113,307,53123,255743702,255743702,[TikTok](https://www.tiktok.com/@independent)
NY Post,Right-Leaning,1,14854360,-2602602,522,28457,238085886,238085886,[TikTok](https://www.tiktok.com/@nypost)
The Daily Show,Left-Leaning,-1,14374811,-5122460,105,136903,124033118,124033118,[TikTok](https://tiktok.com/@thedailyshow)
Univision Noticias,Neutral,20,13504049,6196968,251,53801,270772603,270772603,[TikTok](https://www.tiktok.com/@uninoticias)
The White House,Right-Leaning,-7,12874029,-17142982,78,165052,106737031,106737031,[TikTok](https://www.tiktok.com/@whitehouse)
