entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
LatinUS,Neutral,1,120767724,44812955,1206,100139,2096908970,2096908970,[TikTok](https://www.tiktok.com/@latinus_us)
Daily Mail,Neutral,-1,88479275,-8403990,613,144338,1248661324,1248661324,[TikTok](https://www.tiktok.com/@dailymail)
NowThis,Left-Leaning,10,72310189,50355468,182,397309,581992205,581992205,[TikTok](https://www.tiktok.com/@nowthisimpact)
BBC News,Neutral,3,68968617,33394841,686,100537,1350226310,1350226310,[TikTok](https://www.tiktok.com/@bbcnews)
CNN,Neutral,-1,63131448,15638982,626,100849,906977376,906977376,[TikTok](https://tiktok.com/@cnn)
NBC News,Neutral,0,60923069,24692591,527,115604,826734388,826734388,[TikTok](https://tiktok.com/@nbcnews)
The Democrats,Left-Leaning,4,59243919,34669493,95,623620,334277581,334277581,[TikTok](https://tiktok.com/@democrats)
CBS News,Neutral,-3,49774700,11821555,798,62374,707363850,707363850,"[TikTok](https://tiktok.com/@cbsnews), [TikTok](https://www.tiktok.com/@cbs)"
Courier,Left-Leaning,9,44269306,26075720,265,167054,388110372,388110372,[TikTok](https://tiktok.com/@couriernewsroom)
ABC News,Neutral,-7,40595902,-18057079,506,80229,569502825,569502825,[TikTok](https://www.tiktok.com/@abcnews)
Fox News,Right-Leaning,-3,38775883,4201683,1123,34529,845284546,845284546,[TikTok](https://tiktok.com/@foxnews)
Aaron Parnas,Left-Leaning,-3,36566958,9502930,348,105077,284705032,284705032,[TikTok](https://tiktok.com/@aaronparnas1)
Brut America,Neutral,6,31161099,13408563,278,112090,378998775,378998775,[TikTok](https://tiktok.com/@brutamerica)
The White House,Right-Leaning,2,30017011,10133701,72,416903,268319967,268319967,[TikTok](https://www.tiktok.com/@whitehouse)
Carlos Eduardo Espina,Left-Leaning,5,28966534,11382607,843,34361,486821475,486821475,[TikTok](https://tiktok.com/@carlos_eduardo_espina)
Dylan Page,Neutral,-4,25379888,1883032,38,667892,226857160,226857160,[TikTok](https://www.tiktok.com/@dylan.page)
Reuters,Neutral,0,21306153,2624358,467,45623,390859847,390859847,[TikTok](https://www.tiktok.com/@reuters)
