entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Daily Mail,Neutral,0,141823687,-27086553,804,176398,2180061715,2180061715,[TikTok](https://www.tiktok.com/@dailymail)
Dylan Page,Neutral,2,48707112,9489061,66,737987,416200107,416200107,[TikTok](https://www.tiktok.com/@dylan.page)
Carlos Eduardo Espina,Left-Leaning,10,39590913,17130188,652,60722,643043445,643043445,[TikTok](https://tiktok.com/@carlos_eduardo_espina)
Aaron Parnas,Left-Leaning,-2,38543533,-14685073,353,109188,306696968,306696968,[TikTok](https://tiktok.com/@aaronparnas1)
NBC News,Neutral,3,37516943,4830741,648,57897,529228779,529228779,[TikTok](https://tiktok.com/@nbcnews)
BBC News,Neutral,5,35473663,9322810,489,72543,518983315,518983315,[TikTok](https://www.tiktok.com/@bbcnews)
ABC News,Neutral,-4,34935532,-4699002,400,87339,567286813,567286813,[TikTok](https://www.tiktok.com/@abcnews)
Metro,Neutral,4,29680956,4497435,291,101996,446355186,446355186,[TikTok](https://tiktok.com/@metrouk)
Fox News,Right-Leaning,6,27202097,5749959,1211,22463,581445003,581445003,[TikTok](https://tiktok.com/@foxnews)
CBS News,Neutral,-4,27110270,-9547468,534,50768,396231043,396231043,"[TikTok](https://tiktok.com/@cbsnews), [TikTok](https://www.tiktok.com/@cbs)"
The Democrats,Left-Leaning,13,21641802,11825317,96,225435,139594463,139594463,[TikTok](https://tiktok.com/@democrats)
CNN,Neutral,2,17281542,-4923118,513,33687,283874380,283874380,[TikTok](https://tiktok.com/@cnn)
LatinUS,Neutral,3,16692648,1756534,460,36288,282440363,282440363,[TikTok](https://www.tiktok.com/@latinus_us)
Al Jazeera English,Neutral,-9,16511914,-22124444,363,45487,208583268,208583268,[TikTok](https://tiktok.com/@aljazeeraenglish)
Courier,Left-Leaning,-6,15266069,-17358410,230,66374,147503954,147503954,[TikTok](https://tiktok.com/@couriernewsroom)
MS NOW,Left-Leaning,-9,14791620,-19565229,318,46515,185917989,185917989,[TikTok](https://www.tiktok.com/@msnow)
NY Post,Right-Leaning,0,13266399,-1440321,440,30151,286267119,286267119,[TikTok](https://www.tiktok.com/@nypost)
Brut America,Neutral,0,10726320,-3833894,281,38172,179844084,179844084,[TikTok](https://tiktok.com/@brutamerica)
NowThis,Left-Leaning,1,10207444,-3338959,105,97214,89329938,89329938,[TikTok](https://www.tiktok.com/@nowthisimpact)
Spencer Spencewuah,Left-Leaning,66,9986144,8262633,37,269896,39321188,39321188,[TikTok](https://www.tiktok.com/@spencewuah)
Pink News,Left-Leaning,13,9679821,3590163,225,43021,118628086,118628086,[TikTok](https://tiktok.com/@pinknews)
The Daily Show,Left-Leaning,0,9580235,-1985183,114,84037,77319216,77319216,[TikTok](https://tiktok.com/@thedailyshow)
The Late Show with Stephen Colbert,Left-Leaning,12,8810791,2841313,80,110135,70493277,70493277,[TikTok](https://www.tiktok.com/@colbertlateshow)
Gavin Newsom,Left-Leaning,-14,7899307,-23315256,40,197483,54770581,54770581,"[TikTok](https://www.tiktok.com/@cagovernor), [TikTok](https://www.tiktok.com/@gavinnewsom)"
Alex Pearlman,Left-Leaning,32,7155327,4220045,20,357766,37537638,37537638,[TikTok](https://tiktok.com/@pearlmania500)
