entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Daily Mail,Neutral,0,168910240,88011082,888,190214,2638921100,2638921100,[TikTok](https://www.tiktok.com/@dailymail)
Aaron Parnas,Left-Leaning,1,53228606,21651025,411,129510,445060385,445060385,[TikTok](https://tiktok.com/@aaronparnas1)
ABC News,Neutral,4,39634534,14849193,434,91324,689248925,689248925,[TikTok](https://www.tiktok.com/@abcnews)
Dylan Page,Neutral,0,39218051,8845336,41,956538,333512110,333512110,[TikTok](https://www.tiktok.com/@dylan.page)
Al Jazeera English,Neutral,6,38636358,20345495,436,88616,543305989,543305989,[TikTok](https://tiktok.com/@aljazeeraenglish)
CBS News,Neutral,0,36657738,11603947,639,57367,537836221,537836221,"[TikTok](https://tiktok.com/@cbsnews), [TikTok](https://www.tiktok.com/@cbs)"
MS NOW,Left-Leaning,6,34356849,19582322,368,93361,379137923,379137923,[TikTok](https://www.tiktok.com/@msnow)
NBC News,Neutral,-6,32686202,-4013716,581,56259,492912976,492912976,[TikTok](https://tiktok.com/@nbcnews)
Courier,Left-Leaning,-4,32624479,5428958,279,116934,276099687,276099687,[TikTok](https://tiktok.com/@couriernewsroom)
Gavin Newsom,Left-Leaning,201,31214563,31145757,87,358788,213501179,213501179,"[TikTok](https://www.tiktok.com/@gavinnewsom), [TikTok](https://www.tiktok.com/@cagovernor)"
BBC News,Neutral,-2,26150853,4204123,488,53588,487424454,487424454,[TikTok](https://www.tiktok.com/@bbcnews)
Metro,Neutral,-4,25183521,2824718,297,84793,403490694,403490694,[TikTok](https://tiktok.com/@metrouk)
Carlos Eduardo Espina,Left-Leaning,-3,22460725,3005996,237,94771,327924507,327924507,[TikTok](https://tiktok.com/@carlos_eduardo_espina)
CNN,Neutral,-2,22204660,5580049,490,45316,363125524,363125524,[TikTok](https://tiktok.com/@cnn)
Fox News,Right-Leaning,0,21452138,9052230,836,25660,468322316,468322316,[TikTok](https://tiktok.com/@foxnews)
LatinUS,Neutral,60,14936114,14067534,158,94532,247690700,247690700,[TikTok](https://www.tiktok.com/@latinus_us)
NY Post,Right-Leaning,-3,14706720,1656449,477,30832,307918123,307918123,[TikTok](https://www.tiktok.com/@nypost)
Brut America,Neutral,2,14560214,7897671,352,41364,258803055,258803055,[TikTok](https://tiktok.com/@brutamerica)
CBS Mornings,Neutral,0,14007120,6678697,465,30123,209610984,209610984,[TikTok](https://tiktok.com/@cbsmornings)
NowThis,Left-Leaning,-4,13546403,3031512,132,102624,104864227,104864227,[TikTok](https://www.tiktok.com/@nowthisimpact)
