entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
LatinUS,Neutral,0,167389881,2307151,1666,100474,3048064079,3048064079,[TikTok](https://www.tiktok.com/@latinus_us)
Al Jazeera English,Neutral,13,76402601,52768414,1040,73464,2245272476,2245272476,[TikTok](https://tiktok.com/@aljazeeraenglish)
BBC News,Neutral,0,73447210,5203051,657,111792,1793457779,1793457779,[TikTok](https://www.tiktok.com/@bbcnews)
CNN,Neutral,1,54633733,8777132,792,68982,1098880034,1098880034,[TikTok](https://tiktok.com/@cnn)
Dylan Page,Neutral,5,37882733,6961694,48,789224,368934319,368934319,[TikTok](https://www.tiktok.com/@dylan.page)
Fox News,Right-Leaning,1,37208016,-4977120,641,58047,930448815,930448815,[TikTok](https://tiktok.com/@foxnews)
ABC News,Neutral,1,33493379,-6018845,592,56577,549709421,549709421,[TikTok](https://www.tiktok.com/@abcnews)
Daily Mail,Neutral,-6,33381847,-38695514,315,105974,555911669,555911669,[TikTok](https://www.tiktok.com/@dailymail)
CBS News,Neutral,-5,33360050,-18714690,787,42389,576638454,576638454,"[TikTok](https://tiktok.com/@cbsnews), [TikTok](https://www.tiktok.com/@cbs)"
NBC News,Neutral,3,31738389,3417612,533,59547,547281992,547281992,[TikTok](https://tiktok.com/@nbcnews)
The White House,Right-Leaning,10,26951848,14120227,82,328681,253209642,253209642,[TikTok](https://www.tiktok.com/@whitehouse)
Aaron Parnas,Left-Leaning,-1,26902791,-3785630,266,101138,235295716,235295716,[TikTok](https://tiktok.com/@aaronparnas1)
The Democrats,Left-Leaning,-7,25916413,-19877450,117,221508,179739790,179739790,[TikTok](https://tiktok.com/@democrats)
Brut America,Neutral,-5,23306922,-14891060,271,86003,276682334,276682334,[TikTok](https://tiktok.com/@brutamerica)
NowThis,Left-Leaning,-1,21159428,-6787101,140,151139,186719271,186719271,[TikTok](https://www.tiktok.com/@nowthisimpact)
ABC7 LA,Neutral,10,19690425,8935646,268,73472,250968208,250968208,[TikTok](https://www.tiktok.com/@abc7la)
Carlos Eduardo Espina,Left-Leaning,-1,16189693,-784391,628,25780,298592505,298592505,[TikTok](https://tiktok.com/@carlos_eduardo_espina)
The Associated Press (AP),Neutral,29,15717843,11457331,569,27624,384193987,384193987,[TikTok](https://tiktok.com/@apnews)
Courier,Left-Leaning,-7,15383402,-14657920,229,67176,142452102,142452102,[TikTok](https://tiktok.com/@couriernewsroom)
Sky News,Neutral,5,14116787,2992913,758,18624,438067267,438067267,[TikTok](https://tiktok.com/@skynews)
The Daily Show,Left-Leaning,-2,10641745,-3633752,110,96743,105888239,105888239,[TikTok](https://tiktok.com/@thedailyshow)
Reuters,Neutral,11,10474484,2283361,425,24646,321408158,321408158,[TikTok](https://www.tiktok.com/@reuters)
Metro,Neutral,-1,9321510,-3454078,99,94157,172679235,172679235,[TikTok](https://tiktok.com/@metrouk)
LiveNOW from FOX,Right-Leaning,15,8757368,2852874,226,38749,199991552,199991552,[TikTok](https://tiktok.com/@livenowfox)
ABC7 Chicago,Neutral,-1,7588708,-3842125,641,11839,122936118,122936118,[TikTok](https://www.tiktok.com/@abc7chicago)
Univision Noticias,Neutral,-6,7334459,-6169590,412,17802,178006941,178006941,[TikTok](https://www.tiktok.com/@uninoticias)
NY Post,Right-Leaning,-9,7197571,-7657034,325,22146,164120721,164120721,[TikTok](https://www.tiktok.com/@nypost)
Team Trump,Right-Leaning,8,7027674,324942,47,149525,93004345,93004345,[TikTok](https://www.tiktok.com/@teamtrump)
The Independent,Neutral,-12,6896065,-9423416,323,21350,149272679,149272679,[TikTok](https://www.tiktok.com/@independent)
CBS Evening News,Neutral,15,6366733,1879865,163,39060,78082536,78082536,[TikTok](https://tiktok.com/@cbseveningnews)
Spencer Spencewuah,Left-Leaning,7,5649363,-414376,52,108642,31134306,31134306,[TikTok](https://www.tiktok.com/@spencewuah)
Daily Wire,Right-Leaning,0,5620810,-2923170,35,160595,44677126,44677126,[TikTok](https://tiktok.com/@dailywire)
Candace Owens,Right-Leaning,-10,5314979,-6678346,31,171451,39973600,39973600,[TikTok](https://www.tiktok.com/@candaceoshow)
AJ+,Left-Leaning,78,5242375,4001462,162,32360,32310179,32310179,[TikTok](https://www.tiktok.com/@ajplus)
ABC7NY,Neutral,-8,5030453,-4933754,282,17838,65303933,65303933,[TikTok](https://www.tiktok.com/@abc7ny)
The Late Show with Stephen Colbert,Left-Leaning,-6,4663800,-4170219,74,63024,45162282,45162282,[TikTok](https://www.tiktok.com/@colbertlateshow)
James Talarico,Left-Leaning,4,4646698,-357912,65,71488,30958805,30958805,"[TikTok](https://www.tiktok.com/@teamtalaricohq), [TikTok](https://www.tiktok.com/@jamestalarico)"
Cory Booker,Left-Leaning,72,4269836,3021918,134,31864,34412118,34412118,"[TikTok](https://tiktok.com/@corybooker), [TikTok](https://www.tiktok.com/@senbooker)"
60 Minutes,Neutral,83,4249840,3134474,191,22250,65102369,65102369,[TikTok](https://tiktok.com/@60minutes)
ABC World News Tonight,Neutral,12,4219513,369262,149,28319,73031485,73031485,[TikTok](https://www.tiktok.com/@abcworldnews)
USA Today,Neutral,26,4065412,1491345,255,15943,95841973,95841973,[TikTok](https://www.tiktok.com/@usatoday)
NBC South Florida,Neutral,-2,4027503,-1075638,198,20341,57116370,57116370,[TikTok](https://www.tiktok.com/@nbcsouthflorida)
CTVNews,Neutral,14,3941257,794909,283,13927,93833896,93833896,[TikTok](https://www.tiktok.com/@ctvnews)
Tucker Carlson,Right-Leaning,20,3627711,944410,47,77185,45035961,45035961,[TikTok](https://tiktok.com/@tuckercarlson)
CBS Mornings,Neutral,-11,3624282,-3862697,429,8448,56750833,56750833,[TikTok](https://tiktok.com/@cbsmornings)
The New York Times,Neutral,-18,3574888,-6315323,181,19751,71733685,71733685,[TikTok](https://tiktok.com/@nytimes)
NBC New York,Neutral,-12,3488115,-3431039,190,18359,60336937,60336937,[TikTok](https://www.tiktok.com/@nbcnewyork)
Andre White,Left-Leaning,244,3464894,3275462,21,164995,15791171,15791171,[TikTok](https://tiktok.com/@blackkout___)
Elijah - elijaaahhhhe,Left-Leaning,47,3354249,1683542,104,32252,16611464,16611464,[TikTok](https://www.tiktok.com/@elijaaahhhhe)
Xaviaer DuRousseau,Right-Leaning,32,3342366,1287375,25,133695,22076424,22076424,[TikTok](https://www.tiktok.com/@xaviaer)
Don Lemon,Left-Leaning,72,3263205,2153482,139,23476,31783134,31783134,[TikTok](https://tiktok.com/@donlemon)
International Fund for Animal Welfare,Left-Leaning,688,3188557,3186534,8,398570,31129650,31129650,[TikTok](https://www.tiktok.com/@ifawglobal)
Alex Pearlman,Left-Leaning,6,3169235,217922,7,452748,22042103,22042103,[TikTok](https://tiktok.com/@pearlmania500)
MS NOW,Left-Leaning,-11,3061265,-1605304,131,23368,69554747,69554747,[TikTok](https://www.tiktok.com/@msnow)
TizzyEnt,Left-Leaning,10,3039520,387090,45,67545,25393853,25393853,[TikTok](https://tiktok.com/@tizzyent)
Gavin Newsom,Left-Leaning,-12,3025806,-1498597,44,68768,25311960,25311960,"[TikTok](https://www.tiktok.com/@cagovernor), [TikTok](https://www.tiktok.com/@gavinnewsom)"
Your Favorite Guy,Left-Leaning,14,2889929,608499,77,37532,11543096,11543096,[TikTok](https://tiktok.com/@yourfavoriteguy)
MeidasTouch,Left-Leaning,-8,2882033,-1241045,165,17467,25868107,25868107,[TikTok](https://tiktok.com/@meidastouch)
Ilhan Omar,Left-Leaning,106,2845448,2164560,26,109440,28276101,28276101,"[TikTok](https://tiktok.com/@rep_ilhan), [TikTok](https://www.tiktok.com/@ilhanmn)"
Middle East Eye,Neutral,85,2784199,1954208,157,17734,53591484,53591484,[TikTok](https://www.tiktok.com/@middleeasteye)
PBS News Hour,Neutral,26,2775849,804877,237,11712,28776308,28776308,[TikTok](https://tiktok.com/@pbsnews)
Harry Sisson,Left-Leaning,-14,2768020,-1456247,72,38445,18465300,18465300,[TikTok](https://tiktok.com/@harryjsisson)
Newsweek,Neutral,-26,2652039,-3727805,338,7846,59605352,59605352,[TikTok](https://tiktok.com/@newsweek)
ABC News Live,Neutral,-22,2631987,-2126901,199,13226,27087309,27087309,[TikTok](https://tiktok.com/@abcnewslive)
Pink News,Left-Leaning,1,2400575,-192327,106,22647,23749756,23749756,[TikTok](https://tiktok.com/@pinknews)
Headquarters,Left-Leaning,-37,2387225,-6760653,75,31830,20036091,20036091,[TikTok](https://www.tiktok.com/@headquarters)
CBS Chicago,Neutral,-5,2362170,-384248,245,9642,22989280,22989280,[TikTok](https://www.tiktok.com/@cbschicago)
Trevor Noah,Left-Leaning,-8,2251069,-661675,56,40198,27573202,27573202,[TikTok](https://www.tiktok.com/@trevornoah)
Michael Foote,Left-Leaning,67,2228568,1310915,33,67532,11068680,11068680,[TikTok](https://www.tiktok.com/@michael_foote_)
Benjamín Zamora,Neutral,3,2201116,-50939,179,12297,42505231,42505231,[TikTok](https://tiktok.com/@benjaminzamoratv)
CNBC,Neutral,-3,2178326,-338264,636,3425,90054382,90054382,"[TikTok](https://tiktok.com/@cnbc), [TikTok](https://www.tiktok.com/@cnbc)"
NPR,Neutral,101,2162750,1530745,113,19139,28751363,28751363,[TikTok](https://www.tiktok.com/@npr)
The Real Cornpop,Left-Leaning,3,2153425,-26457,101,21321,17269997,17269997,[TikTok](https://www.tiktok.com/@therealcornpop)
The Older Millennial,Right-Leaning,-4,2069290,-214472,124,16688,14788681,14788681,[TikTok](https://www.tiktok.com/@theoldermillennial)
CBS LA,Neutral,103,2063836,1453954,96,21498,15156245,15156245,[TikTok](https://www.tiktok.com/@cbsla)
Under the Desk News,Left-Leaning,-15,2043424,-721008,61,33499,11409084,11409084,[TikTok](https://tiktok.com/@underthedesknews)
CSPAN,Neutral,-24,2012868,-1739223,193,10429,38090805,38090805,[TikTok](https://tiktok.com/@cspanofficial)
Andr3wsky,Left-Leaning,68,1884211,1068734,21,89724,8595127,8595127,[TikTok](https://www.tiktok.com/@andr3wsky)
News Nation,Neutral,-25,1881406,-1837652,307,6128,39914171,39914171,[TikTok](https://www.tiktok.com/@newsnationnow)
NBC Bay Area,Neutral,-31,1880169,-2306283,315,5969,26721151,26721151,[TikTok](https://www.tiktok.com/@nbcbayarea)
Greg Johnstone,Left-Leaning,0,1876045,-245835,24,78169,13210518,13210518,[TikTok](https://tiktok.com/@johnstone.gregory)
Total Hypocrisy,Left-Leaning,3,1822808,-154824,182,10015,14252928,14252928,[TikTok](https://www.tiktok.com/@totalhypocrisy)
Dean Withers,Left-Leaning,-9,1716181,-534053,5,343236,14954786,14954786,[TikTok](https://www.tiktok.com/@itsdeaann)
NBC 4 Los Angeles,Neutral,4,1663684,-286115,164,10144,23842472,23842472,[TikTok](https://www.tiktok.com/@nbcla)
Face the Nation,Neutral,87,1648016,1005278,148,11135,39524551,39524551,[TikTok](https://tiktok.com/@facethenation)
Tell Williams,Left-Leaning,-23,1646158,-1041629,41,40150,8774186,8774186,[TikTok](https://www.tiktok.com/@mrwilliamsprek)
NBC 5 Chicago,Neutral,-18,1617784,-715384,222,7287,27449918,27449918,[TikTok](https://www.tiktok.com/@nbcchicago)
NBC Washington,Neutral,21,1610907,342862,227,7097,17075077,17075077,[TikTok](https://www.tiktok.com/@nbcwashington)
Philip DeFranco,Left-Leaning,41,1594064,627858,39,40873,12720334,12720334,[TikTok](https://www.tiktok.com/@philipdefranco)
Thee Black Daily,Left-Leaning,,1591099,,74,21501,12402534,12402534,[TikTok](https://www.tiktok.com/@theeblackdaily)
Eumie Michelle,Left-Leaning,360,1555184,1504800,19,81852,9688217,9688217,[TikTok](https://www.tiktok.com/@eumiexx)
Christian Maldonado,Left-Leaning,8,1487837,-18890,7,212548,5782053,5782053,[TikTok](https://tiktok.com/@christianjmaldonado)
