entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
LatinUS,Neutral,0,106811041,-24508629,1312,81411,1720708552,1720708552,[TikTok](https://www.tiktok.com/@latinus_us)
Daily Mail,Neutral,0,61695756,8536214,380,162357,764216963,764216963,[TikTok](https://www.tiktok.com/@dailymail)
CNN,Neutral,2,44541603,2643232,764,58301,728162573,728162573,[TikTok](https://tiktok.com/@cnn)
NBC News,Neutral,5,41820622,5380209,598,69934,561800870,561800870,[TikTok](https://tiktok.com/@nbcnews)
CBS News,Neutral,-2,39649703,-9760597,888,44651,698377097,698377097,"[TikTok](https://tiktok.com/@cbsnews), [TikTok](https://www.tiktok.com/@cbs)"
BBC News,Neutral,-2,38065200,-8036378,834,45642,699464495,699464495,[TikTok](https://www.tiktok.com/@bbcnews)
Aaron Parnas,Left-Leaning,3,37682249,1600652,352,107052,324864164,324864164,[TikTok](https://tiktok.com/@aaronparnas1)
ABC News,Neutral,-2,32761408,-8026900,687,47688,446313854,446313854,[TikTok](https://www.tiktok.com/@abcnews)
Dylan Page,Neutral,3,30369819,-520136,47,646166,259164879,259164879,[TikTok](https://www.tiktok.com/@dylan.page)
Brut America,Neutral,-2,29248330,-7884151,244,119870,298119167,298119167,[TikTok](https://tiktok.com/@brutamerica)
Al Jazeera English,Neutral,-4,23075872,-15225029,799,28881,462422896,462422896,[TikTok](https://tiktok.com/@aljazeeraenglish)
Fox News,Right-Leaning,-1,20955117,-14239590,558,37554,467933378,467933378,[TikTok](https://tiktok.com/@foxnews)
NowThis,Left-Leaning,1,20495649,-1999449,284,72168,167478485,167478485,[TikTok](https://www.tiktok.com/@nowthisimpact)
ABC7 LA,Neutral,1,17921182,-1701501,637,28134,259104143,259104143,[TikTok](https://www.tiktok.com/@abc7la)
The Democrats,Left-Leaning,-2,17643561,-7020951,100,176436,97755393,97755393,[TikTok](https://tiktok.com/@democrats)
The White House,Right-Leaning,14,13923189,5766994,70,198903,126028404,126028404,[TikTok](https://www.tiktok.com/@whitehouse)
NBC South Florida,Neutral,16,13891483,6896867,201,69112,179487407,179487407,[TikTok](https://www.tiktok.com/@nbcsouthflorida)
Courier,Left-Leaning,1,12624615,-2859726,243,51953,102872060,102872060,[TikTok](https://tiktok.com/@couriernewsroom)
The Late Show with Stephen Colbert,Left-Leaning,-1,12533593,-4830900,84,149209,87584246,87584246,[TikTok](https://www.tiktok.com/@colbertlateshow)
Carlos Eduardo Espina,Left-Leaning,1,11545163,-2261661,456,25318,191485247,191485247,[TikTok](https://tiktok.com/@carlos_eduardo_espina)
The Daily Show,Left-Leaning,4,11459257,-974503,116,98787,93723819,93723819,[TikTok](https://tiktok.com/@thedailyshow)
NY Post,Right-Leaning,-2,11337034,-3405460,329,34459,180192996,180192996,[TikTok](https://www.tiktok.com/@nypost)
CBS Evening News,Neutral,12,10839279,3887898,197,55022,140684964,140684964,[TikTok](https://tiktok.com/@cbseveningnews)
ABC7 Chicago,Neutral,-7,10582138,-7924951,996,10625,145708249,145708249,[TikTok](https://www.tiktok.com/@abc7chicago)
NBC 5 Chicago,Neutral,7,9013653,1399261,245,36790,105059401,105059401,[TikTok](https://www.tiktok.com/@nbcchicago)
