entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Daily Mail,Neutral,0,202636271,-56796869,1039,195030,3390389823,3390389823,[TikTok](https://www.tiktok.com/@dailymail)
Team Trump,Right-Leaning,0,52637861,-39509274,56,939962,505197101,505197101,[TikTok](https://www.tiktok.com/@teamtrump)
Courier,Left-Leaning,5,50528233,21882689,498,101462,385450717,385450717,[TikTok](https://tiktok.com/@couriernewsroom)
Kamala Harris,Left-Leaning,6,43293024,16876056,34,1273324,297674103,297674103,[TikTok](https://www.tiktok.com/@kamalaharris)
NBC News,Neutral,10,36598412,15120500,345,106082,490557299,490557299,[TikTok](https://tiktok.com/@nbcnews)
Headquarters,Left-Leaning,-3,36227234,-41902914,100,362272,268463944,268463944,[TikTok](https://www.tiktok.com/@headquarters)
MS NOW,Left-Leaning,-3,30080916,-26704815,272,110592,448740083,448740083,[TikTok](https://www.tiktok.com/@msnow)
CBS News,Neutral,-3,24741480,-29678614,472,52418,343195776,343195776,"[TikTok](https://tiktok.com/@cbsnews), [TikTok](https://www.tiktok.com/@cbs)"
BBC News,Neutral,0,22856052,-4843281,432,52908,390237673,390237673,[TikTok](https://www.tiktok.com/@bbcnews)
ABC News,Neutral,-4,22740713,-20140972,336,67681,349088793,349088793,[TikTok](https://www.tiktok.com/@abcnews)
Carlos Eduardo Espina,Left-Leaning,2,22438472,-1457413,310,72382,350430138,350430138,[TikTok](https://tiktok.com/@carlos_eduardo_espina)
Charlie Kirk,Right-Leaning,0,19812158,-4285593,77,257301,182481669,182481669,[TikTok](https://www.tiktok.com/@thecharliekirkshow)
CNN,Neutral,-2,19493987,-5794534,234,83308,285743253,285743253,[TikTok](https://tiktok.com/@cnn)
Aaron Parnas,Left-Leaning,10,19244975,12480588,233,82596,135448230,135448230,[TikTok](https://tiktok.com/@aaronparnas1)
NowThis,Left-Leaning,-1,17250546,-4924378,154,112017,148467498,148467498,[TikTok](https://www.tiktok.com/@nowthisimpact)
The Daily Show,Left-Leaning,1,16110223,2513679,107,150563,125027067,125027067,[TikTok](https://tiktok.com/@thedailyshow)
Al Jazeera English,Neutral,-10,11550261,-18777307,262,44085,154313126,154313126,[TikTok](https://tiktok.com/@aljazeeraenglish)
Dean Withers,Left-Leaning,12,9874853,5344395,15,658324,47325315,47325315,[TikTok](https://www.tiktok.com/@itsdeaann)
NY Post,Right-Leaning,2,9132918,400588,304,30042,153655747,153655747,[TikTok](https://www.tiktok.com/@nypost)
Donald Trump,Right-Leaning,-4,8312400,-12356753,9,923600,69345363,69345363,[TikTok](https://www.tiktok.com/@realdonaldtrump)
Sky News,Neutral,4,8153122,1839752,722,11292,217810187,217810187,[TikTok](https://tiktok.com/@skynews)
The Democrats,Left-Leaning,-4,7498230,-3149683,101,74240,64058543,64058543,[TikTok](https://tiktok.com/@democrats)
The Late Show with Stephen Colbert,Left-Leaning,-3,7085447,-2309043,84,84351,56227460,56227460,[TikTok](https://www.tiktok.com/@colbertlateshow)
Harry Sisson,Left-Leaning,9,6768924,2558699,100,67689,57435195,57435195,[TikTok](https://tiktok.com/@harryjsisson)
Politico Mexico,Neutral,-6,5865432,-3696935,464,12641,88896903,88896903,[TikTok](https://tiktok.com/@politicomx)
Walter Masterson,Left-Leaning,0,5645091,-557226,26,217119,40034323,40034323,[TikTok](https://www.tiktok.com/@waltermasterson)
Dash Dobrofsky,Left-Leaning,9,5125646,1398688,54,94919,28986338,28986338,[TikTok](https://www.tiktok.com/@dashdobrofsky)
Tim Walz,Left-Leaning,-1,4526495,-1608452,15,301766,20953491,20953491,[TikTok](https://www.tiktok.com/@timwalz)
JD Vance,Right-Leaning,53,4233084,3148250,1,4233084,28706462,28706462,[TikTok](https://www.tiktok.com/@jd)
Amanda Tietz,Left-Leaning,19,4165982,1964771,45,92577,18744919,18744919,[TikTok](https://www.tiktok.com/@pottymouthpollyanna)
ABC World News Tonight,Neutral,146,4041945,3810813,152,26592,80531227,80531227,[TikTok](https://www.tiktok.com/@abcworldnews)
Good Trouble - Sam Rosenholtz,Left-Leaning,78,3847688,3154285,81,47502,22839597,22839597,[TikTok](https://www.tiktok.com/@goodtrouble_)
Fox News,Right-Leaning,-4,3683277,-1027064,8,460410,57967026,57967026,[TikTok](https://tiktok.com/@foxnews)
Olivia Julianna,Left-Leaning,90,3485059,2933652,46,75762,14041761,14041761,[TikTok](https://tiktok.com/@0liviaJulianna)
Univision Noticias,Neutral,35,3168488,1830535,172,18421,118783004,118783004,[TikTok](https://www.tiktok.com/@uninoticias)
Anthony Raimondi,Right-Leaning,8,2991794,240788,131,22838,14003399,14003399,[TikTok](https://www.tiktok.com/@conservativeant2.0)
MeidasTouch,Left-Leaning,-9,2912127,-3008972,98,29716,21928587,21928587,[TikTok](https://tiktok.com/@meidastouch)
Benjamín Zamora,Neutral,-7,2902796,-1560860,110,26389,56880765,56880765,[TikTok](https://tiktok.com/@benjaminzamoratv)
Gaydar,Left-Leaning,17,2836797,1102018,8,354600,14432399,14432399,[TikTok](https://www.tiktok.com/@gaydar.show)
Daily Wire,Right-Leaning,7,2759877,384348,68,40586,22224088,22224088,[TikTok](https://tiktok.com/@dailywire)
The New York Times,Neutral,-6,2666370,-1481638,93,28671,43349039,43349039,[TikTok](https://tiktok.com/@nytimes)
TizzyEnt,Left-Leaning,-10,2628356,-1712282,62,42393,16647933,16647933,[TikTok](https://tiktok.com/@tizzyent)
AJ+,Left-Leaning,-20,2529228,-5062420,107,23638,17182356,17182356,[TikTok](https://www.tiktok.com/@ajplus)
The Associated Press (AP),Neutral,30,2494978,1252544,98,25459,40335355,40335355,[TikTok](https://tiktok.com/@apnews)
Clips of Kamala,Left-Leaning,-7,2365118,-1003010,18,131395,10691398,10691398,[TikTok](https://www.tiktok.com/@clipsofkamala)
Newsweek,Neutral,12,2357636,629572,167,14118,39274523,39274523,[TikTok](https://tiktok.com/@newsweek)
Under the Desk News,Left-Leaning,-5,2317616,-687186,67,34591,18905078,18905078,[TikTok](https://tiktok.com/@underthedesknews)
Megyn Kelly,Right-Leaning,-9,2310109,-1044837,65,35540,24225483,24225483,[TikTok](https://www.tiktok.com/@megynkellyshow)
Brut America,Neutral,35,2291146,1242142,233,9833,36099430,36099430,[TikTok](https://tiktok.com/@brutamerica)
Clarkson Lawson,Right-Leaning,102,2260064,1917502,22,102730,12972763,12972763,[TikTok](https://tiktok.com/@clarksonlawson)
Andr3wsky,Left-Leaning,17,2159593,794276,23,93895,8219796,8219796,[TikTok](https://www.tiktok.com/@andr3wsky)
The Recount,Left-Leaning,51,2110947,1369398,70,30156,19596168,19596168,[TikTok](https://tiktok.com/@therecount)
Link Lauren,Right-Leaning,-16,1867709,-1694065,12,155642,9415916,9415916,[TikTok](https://tiktok.com/@itslinklauren)
USA2024,Right-Leaning,109,1744309,1446846,11,158574,12436229,12436229,[TikTok](https://tiktok.com/@2024usa)
Jeffery Mead,Right-Leaning,0,1735917,-27483,38,45682,10819893,10819893,[TikTok](https://tiktok.com/@the_jefferymead)
Date Right Stuff,Right-Leaning,-8,1678562,-659113,7,239795,15104460,15104460,[TikTok](https://tiktok.com/@daterightstuff)
The Washington Post,Neutral,4,1645548,65288,35,47016,17659084,17659084,[TikTok](https://tiktok.com/@washingtonpost)
Jesse Watters,Right-Leaning,9,1604602,210496,78,20572,14746589,14746589,[TikTok](https://tiktok.com/@jessebwatters)
Philip DeFranco,Left-Leaning,-18,1558009,-1604698,23,67740,13888231,13888231,[TikTok](https://www.tiktok.com/@philipdefranco)
Alexandria Ocasio-Cortez,Left-Leaning,40,1545310,740853,27,57234,15348188,15348188,"[TikTok](https://www.tiktok.com/@aoc), [TikTok](https://tiktok.com/@aocinthehouse)"
Haley Lickstein,Left-Leaning,263,1489547,1466752,58,25682,6677148,6677148,[TikTok](https://www.tiktok.com/@haleylickstein)
The Good Liars,Left-Leaning,-22,1481858,-1758359,7,211694,14910978,14910978,[TikTok](https://tiktok.com/@thegoodliars)
Mark Kaye,Right-Leaning,20,1475175,396706,27,54636,16418117,16418117,[TikTok](https://www.tiktok.com/@mark.kaye.show)
David Pakman Show,Left-Leaning,-18,1404446,-1074085,190,7392,13748797,13748797,[TikTok](https://tiktok.com/@davidpakmanshow)
Imani Barbarin - Crutches and Spice,Left-Leaning,24,1402204,410774,104,13483,6240583,6240583,[TikTok](https://www.tiktok.com/@crutches_and_spice)
Alex Pearlman,Left-Leaning,14,1393920,296609,25,55757,6147512,6147512,[TikTok](https://tiktok.com/@pearlmania500)
Dave Jorgenson,Neutral,6,1371920,122382,20,68596,14122697,14122697,[TikTok](https://www.tiktok.com/@davejorgenson)
Tucker Carlson,Right-Leaning,-23,1272586,-1415437,13,97891,12802810,12802810,[TikTok](https://tiktok.com/@tuckercarlson)
ABC News Live,Neutral,186,1261508,1186099,10,126151,27695865,27695865,[TikTok](https://tiktok.com/@abcnewslive)
"Joe ""Pags"" Pagliarulo",Right-Leaning,-10,1248934,-333814,44,28385,14858320,14858320,[TikTok](https://www.tiktok.com/@joepags)
Metro,Neutral,327,1246769,1239899,11,113343,14979733,14979733,[TikTok](https://tiktok.com/@metrouk)
Michael Solakiewicz,Right-Leaning,25,1232184,364552,101,12200,21156009,21156009,[TikTok](https://www.tiktok.com/@michaelsolakiewicz)
HYGO News,Right-Leaning,-7,1184076,-235852,600,1973,30586858,30586858,[TikTok](https://www.tiktok.com/@hygonews)
Doxielvr,Right-Leaning,2,1181985,-43015,111,10649,4628073,4628073,[TikTok](https://www.tiktok.com/@doxielvr)
Jack Schlossberg,Left-Leaning,53,1115944,599313,14,79710,6459659,6459659,[TikTok](https://www.tiktok.com/@jack.schlossberg)
Allie O’Brien,Left-Leaning,10,1102737,78081,22,50124,5011709,5011709,[TikTok](https://tiktok.com/@allie_202_)
Greg Johnstone,Left-Leaning,45,1088485,508386,20,54424,6513741,6513741,[TikTok](https://tiktok.com/@johnstone.gregory)
Nikita Redkar Dumptruck,Left-Leaning,95,1062285,808001,21,50585,5059922,5059922,[TikTok](https://tiktok.com/@nikitadumptruck)
Maggie Reed,Left-Leaning,41,1023182,405747,55,18603,5255375,5255375,[TikTok](https://tiktok.com/@mermaidmamamaggie)
Andra Berghoff,Left-Leaning,-11,1009389,-338925,43,23474,7688972,7688972,[TikTok](https://tiktok.com/@hopeyoufindyourdad)
Dylan Page,Neutral,,1005938,,1,1005938,6620617,6620617,[TikTok](https://www.tiktok.com/@dylan.page)
Eric Burnett,Left-Leaning,13,997928,115092,34,29351,6831896,6831896,[TikTok](https://www.tiktok.com/@dr.eric.b)
