entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Daily Mail,Neutral,0,146826944,49898709,660,222465,2393243407,2393243407,[TikTok](https://www.tiktok.com/@dailymail)
CBS News,Neutral,4,64509460,34073956,795,81144,1120655971,1120655971,"[TikTok](https://tiktok.com/@cbsnews), [TikTok](https://www.tiktok.com/@cbs)"
Fox News,Right-Leaning,10,61881839,43739391,1255,49308,1190347145,1190347145,[TikTok](https://tiktok.com/@foxnews)
BBC News,Neutral,0,60259686,18352529,588,102482,848401664,848401664,[TikTok](https://www.tiktok.com/@bbcnews)
ABC News,Neutral,-2,56909907,9562527,444,128175,893309479,893309479,[TikTok](https://www.tiktok.com/@abcnews)
Dylan Page,Neutral,-1,54784777,20008901,52,1053553,516564812,516564812,[TikTok](https://www.tiktok.com/@dylan.page)
NBC News,Neutral,-5,52672173,214922,687,76670,777800813,777800813,[TikTok](https://tiktok.com/@nbcnews)
Metro,Neutral,6,46941991,30051453,268,175157,827307580,827307580,[TikTok](https://tiktok.com/@metrouk)
CNN,Neutral,1,45958207,22378022,557,82510,699182140,699182140,[TikTok](https://tiktok.com/@cnn)
LatinUS,Neutral,11,42134459,32706052,740,56938,756668464,756668464,[TikTok](https://www.tiktok.com/@latinus_us)
Aaron Parnas,Left-Leaning,-4,34602934,5783724,320,108134,282604800,282604800,[TikTok](https://tiktok.com/@aaronparnas1)
Courier,Left-Leaning,-1,25068876,5069986,298,84124,221139287,221139287,[TikTok](https://tiktok.com/@couriernewsroom)
Team Trump,Right-Leaning,4,23887913,11546510,52,459383,188871733,188871733,[TikTok](https://www.tiktok.com/@teamtrump)
NY Post,Right-Leaning,6,22922651,11889336,433,52939,448909013,448909013,[TikTok](https://www.tiktok.com/@nypost)
Al Jazeera English,Neutral,-7,22829573,-2783436,394,57943,316679752,316679752,[TikTok](https://tiktok.com/@aljazeeraenglish)
