entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Daily Mail,Neutral,0,96883265,12638155,632,153296,1470068259,1470068259,[TikTok](https://www.tiktok.com/@dailymail)
LatinUS,Neutral,0,75954769,-6430124,995,76336,1196078441,1196078441,[TikTok](https://www.tiktok.com/@latinus_us)
ABC News,Neutral,6,58652981,23621283,444,132101,758662539,758662539,[TikTok](https://www.tiktok.com/@abcnews)
CNN,Neutral,0,47492466,6487074,576,82452,669792352,669792352,[TikTok](https://tiktok.com/@cnn)
CBS News,Neutral,-2,37953145,-8764378,525,72292,635701211,635701211,"[TikTok](https://tiktok.com/@cbsnews), [TikTok](https://www.tiktok.com/@cbs)"
NBC News,Neutral,5,36230478,1752725,473,76597,521645301,521645301,[TikTok](https://tiktok.com/@nbcnews)
BBC News,Neutral,7,35573776,8349384,558,63752,603867675,603867675,[TikTok](https://www.tiktok.com/@bbcnews)
Fox News,Right-Leaning,9,34574200,13692434,988,34994,650735836,650735836,[TikTok](https://tiktok.com/@foxnews)
Aaron Parnas,Left-Leaning,-4,27064028,-11652856,323,83790,211142711,211142711,[TikTok](https://tiktok.com/@aaronparnas1)
NY Post,Right-Leaning,-3,27053943,-10735069,504,53678,460699862,460699862,[TikTok](https://www.tiktok.com/@nypost)
The Democrats,Left-Leaning,-3,24574426,-11892777,74,332087,151881372,151881372,[TikTok](https://tiktok.com/@democrats)
Dylan Page,Neutral,0,23496856,-6740828,36,652690,222814237,222814237,[TikTok](https://www.tiktok.com/@dylan.page)
NowThis,Left-Leaning,-7,21954721,-16658951,143,153530,200486482,200486482,[TikTok](https://www.tiktok.com/@nowthisimpact)
Metro,Neutral,9,20220724,6808019,145,139453,299912963,299912963,[TikTok](https://tiktok.com/@metrouk)
Al Jazeera English,Neutral,-2,20046583,-8513534,482,41590,304066381,304066381,[TikTok](https://tiktok.com/@aljazeeraenglish)
The White House,Right-Leaning,2,19883310,3852640,64,310677,209039839,209039839,[TikTok](https://www.tiktok.com/@whitehouse)
Reuters,Neutral,13,18681795,8624961,381,49034,374096198,374096198,[TikTok](https://www.tiktok.com/@reuters)
Courier,Left-Leaning,-8,18193586,-16767659,222,81953,175363874,175363874,[TikTok](https://tiktok.com/@couriernewsroom)
Brut America,Neutral,-4,17752536,-8044751,272,65267,295790186,295790186,[TikTok](https://tiktok.com/@brutamerica)
Carlos Eduardo Espina,Left-Leaning,1,17583927,2737271,514,34210,305811697,305811697,[TikTok](https://tiktok.com/@carlos_eduardo_espina)
