entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
LatinUS,Neutral,0,167505411,2422681,1666,100543,3050000140,3050000140,[TikTok](https://www.tiktok.com/@latinus_us)
Al Jazeera English,Neutral,13,76438778,52781737,1040,73499,2246668732,2246668732,[TikTok](https://tiktok.com/@aljazeeraenglish)
BBC News,Neutral,0,73578556,5346822,657,111992,1795133279,1795133279,[TikTok](https://www.tiktok.com/@bbcnews)
CNN,Neutral,2,54686998,8771651,792,69049,1100137727,1100137727,[TikTok](https://tiktok.com/@cnn)
Dylan Page,Neutral,5,38058257,7136111,48,792880,370569005,370569005,[TikTok](https://www.tiktok.com/@dylan.page)
Fox News,Right-Leaning,1,37527441,-4813374,641,58545,938749186,938749186,[TikTok](https://tiktok.com/@foxnews)
ABC News,Neutral,1,33520042,-6105281,592,56622,550412752,550412752,[TikTok](https://www.tiktok.com/@abcnews)
CBS News,Neutral,-4,33423956,-18663141,787,42470,577674725,577674725,"[TikTok](https://tiktok.com/@cbsnews), [TikTok](https://www.tiktok.com/@cbs)"
Daily Mail,Neutral,-7,33381847,-38698226,315,105974,555911669,555911669,[TikTok](https://www.tiktok.com/@dailymail)
NBC News,Neutral,3,31781840,3292899,533,59628,548726543,548726543,[TikTok](https://tiktok.com/@nbcnews)
The Democrats,Left-Leaning,-6,27492470,-19839926,117,234978,182160317,182160317,[TikTok](https://tiktok.com/@democrats)
The White House,Right-Leaning,9,27016939,14142910,82,329475,254240462,254240462,[TikTok](https://www.tiktok.com/@whitehouse)
Aaron Parnas,Left-Leaning,-2,26648515,-3905061,265,100560,234154820,234154820,[TikTok](https://tiktok.com/@aaronparnas1)
Brut America,Neutral,-5,23442590,-14928942,272,86186,278908974,278908974,[TikTok](https://tiktok.com/@brutamerica)
NowThis,Left-Leaning,-1,21874192,-6084525,141,155136,197114654,197114654,[TikTok](https://www.tiktok.com/@nowthisimpact)
ABC7 LA,Neutral,10,19690425,8935646,268,73472,250968208,250968208,[TikTok](https://www.tiktok.com/@abc7la)
Carlos Eduardo Espina,Left-Leaning,-1,16215903,-759402,628,25822,300387009,300387009,[TikTok](https://tiktok.com/@carlos_eduardo_espina)
The Associated Press (AP),Neutral,30,15717886,11457368,569,27624,384196188,384196188,[TikTok](https://tiktok.com/@apnews)
Courier,Left-Leaning,-7,15383366,-14675971,229,67176,142456790,142456790,[TikTok](https://tiktok.com/@couriernewsroom)
Sky News,Neutral,5,14116838,2977910,758,18624,438071695,438071695,[TikTok](https://tiktok.com/@skynews)
The Daily Show,Left-Leaning,-2,10808306,-3566505,111,97372,108169024,108169024,[TikTok](https://tiktok.com/@thedailyshow)
Reuters,Neutral,10,10475095,2283772,425,24647,321465232,321465232,[TikTok](https://www.tiktok.com/@reuters)
Metro,Neutral,-1,9369153,-3406438,100,93692,173948344,173948344,[TikTok](https://tiktok.com/@metrouk)
LiveNOW from FOX,Right-Leaning,16,8883393,2978682,227,39134,203163283,203163283,[TikTok](https://tiktok.com/@livenowfox)
ABC7 Chicago,Neutral,-1,7588708,-3896512,641,11839,122936118,122936118,[TikTok](https://www.tiktok.com/@abc7chicago)
Univision Noticias,Neutral,-6,7334459,-6169590,412,17802,178006941,178006941,[TikTok](https://www.tiktok.com/@uninoticias)
NY Post,Right-Leaning,-9,7207179,-7647181,325,22176,164221055,164221055,[TikTok](https://www.tiktok.com/@nypost)
Team Trump,Right-Leaning,8,7039893,300520,47,149785,93252240,93252240,[TikTok](https://www.tiktok.com/@teamtrump)
The Independent,Neutral,-12,6912640,-9396261,323,21401,149273356,149273356,[TikTok](https://www.tiktok.com/@independent)
CBS Evening News,Neutral,16,6366733,1879093,163,39060,78082536,78082536,[TikTok](https://tiktok.com/@cbseveningnews)
Spencer Spencewuah,Left-Leaning,7,5652641,-411184,52,108705,31161001,31161001,[TikTok](https://www.tiktok.com/@spencewuah)
Candace Owens,Right-Leaning,-9,5314979,-6701321,31,171451,39973600,39973600,[TikTok](https://www.tiktok.com/@candaceoshow)
AJ+,Left-Leaning,79,5242399,3992124,162,32360,32311390,32311390,[TikTok](https://www.tiktok.com/@ajplus)
ABC7NY,Neutral,-7,5030461,-4933486,282,17839,65304965,65304965,[TikTok](https://www.tiktok.com/@abc7ny)
The Late Show with Stephen Colbert,Left-Leaning,-4,4664045,-4169974,74,63028,45169799,45169799,[TikTok](https://www.tiktok.com/@colbertlateshow)
James Talarico,Left-Leaning,6,4647017,-357892,65,71493,30964348,30964348,"[TikTok](https://www.tiktok.com/@teamtalaricohq), [TikTok](https://www.tiktok.com/@jamestalarico)"
Cory Booker,Left-Leaning,76,4270223,3022050,134,31867,34418268,34418268,"[TikTok](https://tiktok.com/@corybooker), [TikTok](https://www.tiktok.com/@senbooker)"
60 Minutes,Neutral,90,4249840,3134474,191,22250,65102369,65102369,[TikTok](https://tiktok.com/@60minutes)
ABC World News Tonight,Neutral,14,4219972,359813,149,28322,73039965,73039965,[TikTok](https://www.tiktok.com/@abcworldnews)
USA Today,Neutral,28,4066197,1491719,256,15884,95887706,95887706,[TikTok](https://www.tiktok.com/@usatoday)
NBC South Florida,Neutral,0,4027503,-1075638,198,20341,57116370,57116370,[TikTok](https://www.tiktok.com/@nbcsouthflorida)
CTVNews,Neutral,17,3941257,794771,283,13927,93833896,93833896,[TikTok](https://www.tiktok.com/@ctvnews)
Tucker Carlson,Right-Leaning,21,3627711,944410,47,77185,45035961,45035961,[TikTok](https://tiktok.com/@tuckercarlson)
CBS Mornings,Neutral,-10,3624290,-3862689,429,8448,56751200,56751200,[TikTok](https://tiktok.com/@cbsmornings)
The New York Times,Neutral,-17,3577721,-6312496,181,19766,71813066,71813066,[TikTok](https://tiktok.com/@nytimes)
NBC New York,Neutral,-11,3488126,-3437237,190,18359,60337357,60337357,[TikTok](https://www.tiktok.com/@nbcnewyork)
Andre White,Left-Leaning,256,3464894,3275462,21,164995,15791171,15791171,[TikTok](https://tiktok.com/@blackkout___)
Xaviaer DuRousseau,Right-Leaning,35,3358291,1295712,25,134332,22223116,22223116,[TikTok](https://www.tiktok.com/@xaviaer)
Elijah - elijaaahhhhe,Left-Leaning,48,3354249,1683542,104,32252,16611464,16611464,[TikTok](https://www.tiktok.com/@elijaaahhhhe)
International Fund for Animal Welfare,Left-Leaning,732,3334591,3332568,8,416824,31142431,31142431,[TikTok](https://www.tiktok.com/@ifawglobal)
Don Lemon,Left-Leaning,76,3263205,2145490,139,23476,31783134,31783134,[TikTok](https://tiktok.com/@donlemon)
Alex Pearlman,Left-Leaning,14,3169235,542408,7,452748,22042103,22042103,[TikTok](https://tiktok.com/@pearlmania500)
TizzyEnt,Left-Leaning,12,3044657,391686,45,67659,25614504,25614504,[TikTok](https://tiktok.com/@tizzyent)
MS NOW,Left-Leaning,-10,3042171,-1589410,130,23401,69077147,69077147,[TikTok](https://www.tiktok.com/@msnow)
Gavin Newsom,Left-Leaning,-10,3028751,-1581899,44,68835,25396916,25396916,"[TikTok](https://www.tiktok.com/@gavinnewsom), [TikTok](https://www.tiktok.com/@cagovernor)"
KDFW FOX 4 (Dallas-Fort Worth Fox),Neutral,-17,2961663,-2986779,45,65815,57000156,57000156,[TikTok](https://www.tiktok.com/@fox4newsdallasfortworth)
Your Favorite Guy,Left-Leaning,14,2890308,605534,77,37536,11545682,11545682,[TikTok](https://tiktok.com/@yourfavoriteguy)
MeidasTouch,Left-Leaning,-7,2882191,-1240865,165,17468,25870054,25870054,[TikTok](https://tiktok.com/@meidastouch)
Ilhan Omar,Left-Leaning,113,2845448,2164148,26,109440,28276101,28276101,"[TikTok](https://tiktok.com/@rep_ilhan), [TikTok](https://www.tiktok.com/@ilhanmn)"
Daily Wire,Right-Leaning,-27,2841108,-5187342,31,91649,23331921,23331921,[TikTok](https://tiktok.com/@dailywire)
Middle East Eye,Neutral,90,2784199,1954208,157,17734,53591484,53591484,[TikTok](https://www.tiktok.com/@middleeasteye)
PBS News Hour,Neutral,26,2776513,805192,237,11715,28828863,28828863,[TikTok](https://tiktok.com/@pbsnews)
Harry Sisson,Left-Leaning,-14,2768020,-1462935,72,38445,18465300,18465300,[TikTok](https://tiktok.com/@harryjsisson)
Newsweek,Neutral,-27,2654327,-3725597,338,7853,59666004,59666004,[TikTok](https://tiktok.com/@newsweek)
ABC News Live,Neutral,-22,2635503,-2205344,199,13244,27136708,27136708,[TikTok](https://tiktok.com/@abcnewslive)
Pink News,Left-Leaning,1,2433884,-159014,107,22747,24411054,24411054,[TikTok](https://tiktok.com/@pinknews)
