entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Daily Mail,Neutral,0,84245110,-22791521,692,121741,1388035297,1388035297,[TikTok](https://www.tiktok.com/@dailymail)
LatinUS,Neutral,4,82384893,44117787,1054,78164,1394806844,1394806844,[TikTok](https://www.tiktok.com/@latinus_us)
CBS News,Neutral,0,46717523,5091448,623,74988,732359097,732359097,"[TikTok](https://tiktok.com/@cbsnews), [TikTok](https://www.tiktok.com/@cbs)"
CNN,Neutral,1,41005392,2670631,590,69501,568942536,568942536,[TikTok](https://tiktok.com/@cnn)
Aaron Parnas,Left-Leaning,5,38716884,4651514,344,112549,286920370,286920370,[TikTok](https://tiktok.com/@aaronparnas1)
NowThis,Left-Leaning,5,38613672,7359787,165,234022,379735744,379735744,[TikTok](https://www.tiktok.com/@nowthisimpact)
NY Post,Right-Leaning,5,37789012,11029271,514,73519,674422538,674422538,[TikTok](https://www.tiktok.com/@nypost)
The Democrats,Left-Leaning,11,36467203,19286493,124,294090,211823133,211823133,[TikTok](https://tiktok.com/@democrats)
ABC News,Neutral,0,35031698,-507094,354,98960,521764697,521764697,[TikTok](https://www.tiktok.com/@abcnews)
Courier,Left-Leaning,-3,34961245,-3177247,295,118513,292686334,292686334,[TikTok](https://tiktok.com/@couriernewsroom)
NBC News,Neutral,-9,34477753,-8084271,605,56988,509255539,509255539,[TikTok](https://tiktok.com/@nbcnews)
Dylan Page,Neutral,-8,30237684,-11346720,56,539959,263526280,263526280,[TikTok](https://www.tiktok.com/@dylan.page)
Al Jazeera English,Neutral,1,28560117,5855297,414,68986,368162449,368162449,[TikTok](https://tiktok.com/@aljazeeraenglish)
BBC News,Neutral,-6,27224392,-10230833,577,47183,420769510,420769510,[TikTok](https://www.tiktok.com/@bbcnews)
Brut America,Neutral,1,25797287,4985148,287,89886,354819120,354819120,[TikTok](https://tiktok.com/@brutamerica)
