entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Daily Mail,Neutral,0,107036631,-40131753,747,143289,1736824193,1736824193,[TikTok](https://www.tiktok.com/@dailymail)
NBC News,Neutral,5,42562024,-10191234,682,62408,645352250,645352250,[TikTok](https://tiktok.com/@nbcnews)
CBS News,Neutral,-1,41626075,-22882446,656,63454,749602877,749602877,"[TikTok](https://www.tiktok.com/@cbs), [TikTok](https://tiktok.com/@cbsnews)"
Dylan Page,Neutral,2,41584404,-13200373,57,729551,376225017,376225017,[TikTok](https://www.tiktok.com/@dylan.page)
CNN,Neutral,4,38334761,-7636879,681,56292,591612211,591612211,[TikTok](https://tiktok.com/@cnn)
LatinUS,Neutral,4,38267106,-3867353,646,59237,643959417,643959417,[TikTok](https://www.tiktok.com/@latinus_us)
Courier,Left-Leaning,5,38138492,13069616,380,100364,306019688,306019688,[TikTok](https://tiktok.com/@couriernewsroom)
BBC News,Neutral,-4,37455225,-22898101,629,59547,579226310,579226310,[TikTok](https://www.tiktok.com/@bbcnews)
ABC News,Neutral,-4,35538792,-22366536,442,80405,607427250,607427250,[TikTok](https://www.tiktok.com/@abcnews)
Aaron Parnas,Left-Leaning,1,34065370,-542907,325,104817,250452143,250452143,[TikTok](https://tiktok.com/@aaronparnas1)
NowThis,Left-Leaning,10,31253885,15874401,223,140152,280712525,280712525,[TikTok](https://www.tiktok.com/@nowthisimpact)
NY Post,Right-Leaning,2,26759741,3825651,564,47446,477193546,477193546,[TikTok](https://www.tiktok.com/@nypost)
Fox News,Right-Leaning,-10,26400860,-35588360,1278,20658,589300894,589300894,[TikTok](https://tiktok.com/@foxnews)
Al Jazeera English,Neutral,1,22704820,-126872,397,57191,301277723,301277723,[TikTok](https://tiktok.com/@aljazeeraenglish)
ABC7 LA,Neutral,1,22363693,2319941,329,67975,354190266,354190266,[TikTok](https://www.tiktok.com/@abc7la)
Brut America,Neutral,6,20812139,5502814,344,60500,267305660,267305660,[TikTok](https://tiktok.com/@brutamerica)
Carlos Eduardo Espina,Left-Leaning,1,19080337,462308,437,43662,320793700,320793700,[TikTok](https://tiktok.com/@carlos_eduardo_espina)
The Daily Show,Left-Leaning,6,18657257,4735497,120,155477,130807644,130807644,[TikTok](https://tiktok.com/@thedailyshow)
